,geoid10,H7X001
220,371290102002027,15
221,371290102002028,12
222,371290102002029,22
223,371290102002030,17
224,371290102002031,19
225,371290102002032,11
226,371290102002033,6
227,371290102002034,16
228,371290102002035,30
229,371290102002036,40
230,371290102002037,8
231,371290102002038,17
232,371290102002039,56
233,371290102002040,47
234,371290102002041,46
235,371290102002042,46
236,371290102002043,36
237,371290102002044,47
238,371290102002045,32
239,371290102002046,4
240,371290102002047,32
241,371290102002048,26
242,371290102002049,10
243,371290102002050,5
244,371290102002051,6
245,371290102002052,11
246,371290102002053,7
247,371290102002054,9
248,371290102002055,0
249,371290102002056,25
250,371290102002057,12
251,371290102002058,39
252,371290102002059,16
253,371290102002060,8
254,371290102002061,21
255,371290102002062,18
256,371290102002063,38
257,371290102002064,38
258,371290102003000,52
259,371290102003001,189
260,371290102003002,12
261,371290102003003,10
262,371290102003004,38
263,371290102003005,62
264,371290102003006,23
265,371290102003007,31
266,371290102003008,2
267,371290102003009,35
268,371290102003010,17
269,371290102003011,11
270,371290102003012,9
271,371290102003013,67
272,371290102003014,91
273,371290102003015,5
274,371290102003016,45
275,371290102003017,41
276,371290102003018,0
277,371290102003019,13
278,371290102003020,0
279,371290102003021,5
280,371290102003022,0
281,371290102003023,0
282,371290102003024,0
283,371290102003025,0
284,371290102003026,0
285,371290102003027,0
286,371290102003028,0
287,371290102003029,0
288,371290102003030,0
289,371290103001000,0
290,371290103001001,0
291,371290103001002,0
292,371290103001003,0
293,371290103001004,0
294,371290103001005,27
295,371290103001006,0
296,371290103001007,0
297,371290103001008,0
298,371290103001009,843
299,371290103001010,33
300,371290103001011,19
301,371290103001012,41
302,371290103001013,25
303,371290103001014,39
304,371290103001015,3
305,371290103001016,20
306,371290103001017,30
307,371290103001018,380
308,371290103001019,52
309,371290103001020,165
310,371290103001021,75
311,371290103001022,0
312,371290103001023,53
313,371290103001024,49
314,371290103001025,40
315,371290103001026,0
316,371290103001027,34
317,371290103001028,40
318,371290103001029,10
319,371290103001030,26
320,371290103001031,0
321,371290103001032,83
322,371290103001033,68
323,371290103001034,146
324,371290103001035,68
325,371290103001036,32
326,371290103002000,26
327,371290103002001,109
328,371290103002002,77
329,371290103002003,40
330,371290103002004,19
331,371290103002005,37
332,371290103002006,40
333,371290103002007,57
334,371290103002008,47
335,371290103002009,50
336,371290103002010,0
337,371290103002011,0
338,371290103002012,22
339,371290103002013,35
340,371290103002014,49
341,371290103002015,0
342,371290103002016,16
343,371290103002017,15
344,371290103002018,26
345,371290103002019,47
346,371290103002020,29
347,371290103002021,49
348,371290103002022,0
349,371290103002023,56
350,371290103003000,35
351,371290103003001,38
352,371290103003002,32
353,371290103003003,44
354,371290103003004,40
355,371290103003005,17
356,371290103003006,58
357,371290103003007,55
358,371290103003008,30
359,371290103003009,24
360,371290103003010,23
361,371290103003011,32
362,371290103003012,36
363,371290103003013,39
364,371290103003014,33
365,371290103003015,39
366,371290103003016,41
367,371290103003017,16
368,371290103003018,41
369,371290103003019,29
370,371290103003020,0
371,371290103003021,13
372,371290103003022,17
373,371290103004000,0
374,371290103004001,0
375,371290103004002,0
376,371290103004003,0
377,371290103004004,0
378,371290103004005,0
379,371290103004006,8
380,371290103004007,0
381,371290103004008,0
382,371290103004009,0
383,371290103004010,0
384,371290103004011,0
385,371290103004012,0
386,371290103004013,0
387,371290103004014,277
388,371290103004015,9
389,371290103004016,14
390,371290103004017,225
391,371290103004018,3
392,371290103004019,33
393,371290103004020,362
394,371290103004021,63
395,371290103004022,64
396,371290103004023,0
397,371290103004024,31
398,371290103004025,47
399,371290103004026,81
400,371290103004027,99
401,371290103004028,70
402,371290103004029,0
403,371290103004030,0
404,371290104001000,95
405,371290104001001,35
406,371290104001002,19
407,371290104001003,47
408,371290104001004,29
409,371290104001005,28
410,371290104001006,41
411,371290104001007,26
412,371290104001008,67
413,371290104001009,0
414,371290104001010,0
415,371290104001011,85
416,371290104001012,87
417,371290104001013,353
418,371290104001014,105
419,371290104002000,28
420,371290104002001,231
421,371290104002002,52
422,371290104002003,42
423,371290104002004,116
424,371290104002005,139
425,371290104002006,66
426,371290104002007,0
427,371290104002008,9
428,371290104002009,19
429,371290104002010,7
430,371290104002011,18
431,371290104002012,47
432,371290104002013,18
433,371290104002014,29
434,371290104002015,81
435,371290104003000,0
436,371290104003001,30
437,371290104003002,23
438,371290104003003,22
439,371290104003004,29
440,371290104003005,36
441,371290104003006,7
442,371290104003007,8
443,371290104003008,33
444,371290104003009,35
445,371290104003010,13
446,371290104003011,105
447,371290104003012,0
448,371290104003013,22
449,371290104003014,45
450,371290104003015,13
451,371290104003016,0
452,371290104003017,14
453,371290104003018,22
454,371290104003019,48
455,371290104003020,0
456,371290104003021,4
457,371290104003022,0
458,371290104003023,0
459,371290104003024,36
460,371290104003025,19
461,371290104003026,29
462,371290104003027,14
463,371290104003028,0
464,371290104003029,49
465,371290104003030,8
466,371290104003031,12
467,371290104003032,29
468,371290104003033,25
469,371290104003034,51
470,371290104003035,0
471,371290104003036,7
472,371290104003037,33
473,371290104003038,26
474,371290104003039,26
475,371290104003040,4
476,371290104003041,24
477,371290104003042,20
478,371290104003043,42
479,371290104003044,10
480,371290104003045,17
481,371290105011000,6
482,371290105011001,0
483,371290105011002,9
484,371290105011003,1
485,371290105011004,0
486,371290105011005,3
487,371290105011006,0
488,371290105011007,74
489,371290105011008,24
490,371290105011009,50
491,371290105011010,423
492,371290105011011,9
493,371290105011012,46
494,371290105011013,14
495,371290105011014,245
496,371290105011015,17
497,371290105011016,41
498,371290105011017,13
499,371290105011018,0
500,371290105011019,0
501,371290105011020,0
502,371290105012000,0
503,371290105012001,0
504,371290105012002,0
505,371290105012003,0
506,371290105012004,0
507,371290105012005,1327
508,371290105012006,60
509,371290105012007,255
510,371290105012008,0
511,371290105012009,0
512,371290105012010,0
513,371290105012011,6
514,371290105012012,0
515,371290105012013,0
516,371290105012014,0
517,371290105012015,0
518,371290105012016,0
519,371290105012017,0
520,371290105012018,0
521,371290105012019,0
522,371290105012020,0
523,371290105012021,0
524,371290105012022,0
525,371290105012023,0
526,371290105012024,0
527,371290105012025,0
528,371290105013000,215
529,371290105013001,75
530,371290105013002,587
531,371290105013003,0
532,371290105013004,238
533,371290105013005,82
534,371290105013006,0
535,371290105013007,0
536,371290105021000,0
537,371290105021001,0
538,371290105021002,0
539,371290105021003,0
540,371290105021004,0
541,371290105021005,0
542,371290105021006,0
543,371290105021007,0
544,371290105021008,0
545,371290105021009,3
546,371290105021010,1238
547,371290105021011,0
548,371290105021012,81
549,371290105021013,108
550,371290105021014,64
551,371290105021015,0
552,371290105021016,0
553,371290105021017,0
554,371290105021018,29
555,371290105021019,34
556,371290105021020,245
557,371290105021021,127
558,371290105021022,133
559,371290105021023,0
560,371290105021024,0
561,371290105021025,0
562,371290105021026,0
563,371290105021027,0
564,371290105021028,0
565,371290105021029,10
566,371290105021030,0
567,371290105021031,199
568,371290105021032,726
569,371290105021033,0
570,371290105021034,0
571,371290105021035,106
572,371290105021036,81
573,371290105021037,84
574,371290105021038,0
575,371290105021039,0
576,371290105021040,0
577,371290105021041,0
578,371290105021042,21
579,371290105021043,0
580,371290105021044,0
581,371290105021045,0
582,371290105021046,0
583,371290105021047,0
584,371290105021048,6
585,371290105021049,0
586,371290105021050,17
587,371290105021051,53
588,371290105021052,66
589,371290105022000,39
590,371290105022001,50
591,371290105022002,66
592,371290105022003,35
593,371290105022004,28
594,371290105022005,22
595,371290105022006,32
596,371290105022007,494
597,371290105022008,28
598,371290105022009,21
599,371290105022010,95
600,371290105022011,487
601,371290105022012,94
602,371290105022013,74
603,371290105023000,353
604,371290105023001,28
605,371290105023002,100
606,371290105023003,59
607,371290105023004,0
608,371290105023005,217
609,371290105023006,0
610,371290105023007,59
611,371290105023008,45
612,371290105023009,31
613,371290105023010,0
614,371290105023011,0
615,371290105023012,0
616,371290105023013,23
617,371290105023014,8
618,371290105023015,13
619,371290105023016,53
620,371290105023017,45
621,371290105023018,0
622,371290105023019,0
623,371290105023020,0
624,371290105023021,0
625,371290105023022,0
626,371290105023023,0
627,371290105023024,0
628,371290105023025,25
629,371290105023026,19
630,371290105023027,10
631,371290105023028,13
632,371290105023029,0
633,371290105023030,0
634,371290105023031,0
635,371290105023032,0
636,371290105023033,0
637,371290105023034,0
638,371290105023035,0
639,371290105024000,159
640,371290105024001,30
641,371290105024002,92
642,371290105024003,98
643,371290105024004,0
644,371290105024005,0
645,371290105024006,37
646,371290105024007,56
647,371290105024008,46
648,371290105024009,24
649,371290105024010,24
650,371290105024011,0
651,371290105024012,0
652,371290105024013,28
653,371290105024014,53
654,371290105024015,0
655,371290105024016,15
656,371290105024017,5
657,371290105024018,0
658,371290105024019,0
659,371290105024020,0
660,371290105024021,15
661,371290105024022,16
662,371290105024023,23
663,371290105024024,39
664,371290105024025,38
665,371290105024026,0
666,371290105024027,0
667,371290105024028,0
668,371290105024029,22
669,371290105024030,17
670,371290105024031,31
671,371290105024032,9
672,371290105024033,32
673,371290105024034,7
674,371290105024035,0
675,371290106001000,462
676,371290106001001,4
677,371290106001002,22
678,371290106001003,32
679,371290106001004,0
680,371290106001005,0
681,371290106001006,0
682,371290106001007,15
683,371290106001008,22
684,371290106001009,44
685,371290106001010,0
686,371290106001011,18
687,371290106001012,94
688,371290106001013,69
689,371290106001014,0
690,371290106001015,17
691,371290106001016,48
692,371290106001017,75
693,371290106001018,34
694,371290106001019,44
695,371290106001020,5
696,371290106001021,39
697,371290106001022,75
698,371290106001023,0
699,371290106001024,34
700,371290106001025,53
701,371290106001026,39
702,371290106002000,260
703,371290106002001,0
704,371290106002002,15
705,371290106002003,26
706,371290106002004,0
707,371290106002005,0
708,371290106002006,27
709,371290106002007,40
710,371290106002008,71
711,371290106002009,0
712,371290106002010,0
713,371290106002011,0
714,371290106002012,0
715,371290106002013,0
716,371290106002014,0
717,371290106002015,0
718,371290106002016,0
719,371290106002017,0
720,371290106002018,0
721,371290106002019,0
722,371290106002020,0
723,371290106002021,0
724,371290106002022,0
725,371290106002023,0
726,371290106002024,0
727,371290106002025,0
728,371290106002026,0
729,371290106002027,0
730,371290106002028,0
731,371290106002029,0
732,371290106002030,0
733,371290106002031,0
734,371290106002032,59
735,371290106002033,143
736,371290106002034,0
737,371290106002035,40
738,371290106002036,0
739,371290106002037,17
740,371290106002038,0
741,371290106002039,0
742,371290106002040,38
743,371290106002041,0
744,371290106002042,19
745,371290106002043,87
746,371290106002044,40
747,371290106002045,44
748,371290106002046,24
749,371290106002047,0
750,371290106002048,0
751,371290106002049,0
752,371290106002050,0
753,371290106002051,0
754,371290106002052,36
755,371290106002053,0
756,371290106002054,0
757,371290106003000,0
758,371290106003001,0
759,371290106003002,0
760,371290106003003,0
761,371290106003004,0
762,371290106003005,0
763,371290106003006,0
764,371290106003007,0
765,371290106003008,0
766,371290106003009,0
767,371290106003010,0
768,371290106003011,25
769,371290106003012,0
770,371290106003013,0
771,371290106003014,0
772,371290106003015,0
773,371290106003016,0
774,371290106003017,0
775,371290106003018,337
776,371290106003019,0
777,371290106003020,0
778,371290106003021,58
779,371290106003022,112
780,371290106003023,0
781,371290106003024,11
782,371290106003025,0
783,371290106003026,0
784,371290106003027,73
785,371290106003028,22
786,371290106003029,45
787,371290106003030,21
788,371290106003031,37
789,371290106003032,19
790,371290106003033,19
791,371290106003034,30
792,371290106003035,11
793,371290106003036,56
794,371290106003037,70
795,371290106003038,62
796,371290106003039,334
797,371290106003040,0
798,371290106003041,0
799,371290106003042,0
800,371290106003043,0
801,371290106003044,191
802,371290106003045,103
803,371290106003046,0
804,371290106003047,9
805,371290106003048,0
806,371290106003049,13
807,371290106003050,0
808,371290106003051,0
809,371290106003052,108
810,371290106003053,48
811,371290106003054,19
812,371290106003055,0
813,371290106003056,0
814,371290107001000,33
815,371290107001001,28
816,371290107001002,25
817,371290107001003,34
818,371290107001004,0
819,371290107001005,0
820,371290107001006,0
821,371290107001007,0
822,371290107001008,46
823,371290107001009,20
824,371290107001010,486
825,371290107001011,145
826,371290107001012,0
827,371290107001013,0
828,371290107001014,0
829,371290107001015,0
830,371290107001016,13
831,371290107001017,0
832,371290107001018,0
833,371290107001019,0
834,371290107001020,0
835,371290107001021,0
836,371290107001022,35
837,371290107001023,23
838,371290107001024,38
839,371290107001025,0
840,371290107001026,8
841,371290107001027,0
842,371290107001028,0
843,371290107001029,107
844,371290107001030,30
845,371290107001031,0
846,371290107001032,0
847,371290107001033,0
848,371290107001034,102
849,371290107001035,129
850,371290107001036,0
851,371290107001037,0
852,371290107001038,0
853,371290107001039,45
854,371290107001040,67
855,371290107001041,0
856,371290107001042,0
857,371290107001043,0
858,371290107001044,0
859,371290107001045,144
860,371290107001046,108
861,371290107001047,0
862,371290107001048,0
863,371290107001049,0
864,371290107001050,4
865,371290107002000,0
866,371290107002001,15
867,371290107002002,227
868,371290107002003,0
869,371290107002004,249
870,371290107002005,62
871,371290107002006,0
872,371290107002007,0
873,371290107002008,0
874,371290107002009,0
875,371290107002010,0
876,371290107002011,0
877,371290107002012,155
878,371290107002013,14
879,371290107002014,87
880,371290107002015,0
881,371290107002016,0
882,371290107002017,0
883,371290107002018,0
884,371290107002019,0
885,371290107002020,0
886,371290107002021,0
887,371290107002022,0
888,371290107002023,0
889,371290107002024,0
890,371290107002025,0
891,371290107002026,0
892,371290107002027,375
893,371290107002028,19
894,371290107002029,8
895,371290107002030,272
896,371290107002031,0
897,371290107002032,24
898,371290107002033,39
899,371290107002034,0
900,371290107002035,78
901,371290107002036,32
902,371290107002037,33
903,371290107002038,68
904,371290107002039,42
905,371290107002040,38
906,371290107002041,1
907,371290107002042,162
908,371290107002043,0
909,371290107002044,0
910,371290107002045,0
911,371290107002046,0
912,371290107002047,0
913,371290107002048,0
914,371290107002049,0
915,371290107002050,0
916,371290107002051,0
917,371290107002052,0
918,371290107002053,0
919,371290107002054,0
920,371290107002055,29
921,371290107002056,0
922,371290107002057,0
923,371290107002058,0
924,371290107002059,0
925,371290107002060,0
926,371290108001000,23
927,371290108001001,23
928,371290108001002,0
929,371290108001003,54
930,371290108001004,43
931,371290108001005,43
932,371290108001006,0
933,371290108001007,0
934,371290108001008,47
935,371290108001009,103
936,371290108001010,0
937,371290108001011,45
938,371290108001012,278
939,371290108001013,40
940,371290108001014,42
941,371290108001015,37
942,371290108001016,53
943,371290108001017,0
944,371290108001018,0
945,371290108001019,0
946,371290108001020,0
947,371290108001021,50
948,371290108001022,46
949,371290108001023,0
950,371290108001024,19
951,371290108001025,45
952,371290108001026,33
953,371290108001027,0
954,371290108001028,0
955,371290108001029,0
956,371290108001030,0
957,371290108001031,0
958,371290108001032,0
959,371290108001033,0
960,371290108001034,0
961,371290108001035,0
962,371290108001036,0
963,371290108001037,0
964,371290108001038,0
965,371290108001039,0
966,371290108001040,0
967,371290108001041,0
968,371290108001042,0
969,371290108001043,0
970,371290108001044,0
971,371290108001045,221
972,371290108001046,78
973,371290108001047,84
974,371290108001048,0
975,371290108001049,0
976,371290108001050,0
977,371290108001051,0
978,371290108001052,0
979,371290108001053,0
980,371290108001054,0
981,371290108001055,0
982,371290108001056,0
983,371290108001057,0
984,371290108001058,0
985,371290108001059,0
986,371290108001060,0
987,371290108001061,0
988,371290108001062,0
989,371290108001063,0
990,371290108001064,0
991,371290108001065,0
992,371290108001066,0
993,371290108001067,0
994,371290108001068,0
995,371290108001069,0
996,371290108001070,70
997,371290108001071,0
998,371290108001072,0
999,371290108001073,0
1000,371290108001074,0
1001,371290108001075,0
1002,371290108001076,39
1003,371290108001077,0
1004,371290108001078,0
1005,371290108001079,0
1006,371290108001080,0
1007,371290108001081,0
1008,371290108001082,0
1009,371290108001083,0
1010,371290108001084,0
1011,371290108001085,0
1012,371290108001086,0
1013,371290108001087,198
1014,371290108001088,51
1015,371290108001089,0
1016,371290108001090,85
1017,371290108001091,0
1018,371290108001092,90
1019,371290108001093,0
1020,371290108001094,68
1021,371290108001095,0
1022,371290108001096,0
1023,371290108001097,0
1024,371290108001098,0
1025,371290108001099,0
1026,371290108001100,0
1027,371290108001101,95
1028,371290108001102,90
1029,371290108001103,63
1030,371290108001104,0
1031,371290108001105,32
1032,371290108001106,85
1033,371290108001107,71
1034,371290108001108,0
1035,371290108001109,0
1036,371290108001110,0
1037,371290108001111,0
1038,371290108001112,0
1039,371290108001113,0
1040,371290108001114,0
1041,371290108001115,0
1042,371290108001116,0
1043,371290108001117,0
1044,371290108001118,0
1045,371290108001119,0
1046,371290108001120,40
1047,371290108001121,0
1048,371290108001122,0
1049,371290108001123,0
1050,371290108001124,0
1051,371290108001125,0
1052,371290108001126,0
1053,371290108001127,140
1054,371290108001128,26
1055,371290108001129,0
1056,371290108001130,0
1057,371290108001131,0
1058,371290108001132,0
1059,371290108001133,18
1060,371290109001000,0
1061,371290109001001,0
1062,371290109001002,0
1063,371290109001003,0
1064,371290109001004,0
1065,371290109001005,0
1066,371290109001006,0
1067,371290109001007,0
1068,371290109001008,0
1069,371290109001009,0
1070,371290109001010,0
1071,371290109001011,0
1072,371290109001012,0
1073,371290109001013,0
1074,371290109001014,0
1075,371290109001015,0
1076,371290109001016,0
1077,371290109001017,0
1078,371290109001018,0
1079,371290109001019,0
1080,371290109001020,0
1081,371290109001021,0
1082,371290109001022,0
1083,371290109001023,0
1084,371290109001024,5
1085,371290109001025,0
1086,371290109001026,0
1087,371290109001027,17
1088,371290109001028,13
1089,371290109001029,22
1090,371290109001030,35
1091,371290109001031,7
1092,371290109001032,7
1093,371290109001033,52
1094,371290109001034,33
1095,371290109001035,26
1096,371290109001036,83
1097,371290109001037,0
1098,371290109001038,83
1099,371290109001039,60
1100,371290109001040,28
1101,371290109001041,43
1102,371290109001042,78
1103,371290109001043,60
1104,371290109001044,0
1105,371290109001045,69
1106,371290109001046,0
1107,371290109001047,24
1108,371290109001048,48
1109,371290109001049,54
1110,371290109001050,19
1111,371290109001051,9
1112,371290109001052,0
1113,371290109001053,0
1114,371290109001054,0
1115,371290109001055,0
1116,371290109001056,2
1117,371290109001057,82
1118,371290109001058,0
1119,371290109001059,0
1120,371290109001060,59
1121,371290109001061,0
1122,371290109002000,0
1123,371290109002001,0
1124,371290109002002,15
1125,371290109002003,8
1126,371290109002004,95
1127,371290109002005,45
1128,371290109002006,188
1129,371290109002007,0
1130,371290109002008,30
1131,371290109002009,19
1132,371290109002010,195
1133,371290109002011,0
1134,371290109002012,30
1135,371290109002013,0
1136,371290109002014,0
1137,371290109002015,0
1138,371290109002016,0
1139,371290109002017,0
1140,371290109002018,0
1141,371290109002019,46
1142,371290109002020,33
1143,371290109002021,0
1144,371290109002022,43
1145,371290109002023,56
1146,371290109002024,52
1147,371290109002025,55
1148,371290109002026,60
1149,371290109002027,0
1150,371290109002028,0
1151,371290109002029,0
1152,371290109002030,0
1153,371290109002031,63
1154,371290109002032,26
1155,371290109002033,49
1156,371290109002034,42
1157,371290109002035,0
1158,371290109002036,0
1159,371290109002037,0
1160,371290109002038,3
1161,371290109002039,5
1162,371290109002040,74
1163,371290110001000,0
1164,371290110001001,0
1165,371290110001002,0
1166,371290110001003,0
1167,371290110001004,4
1168,371290110001005,1
1169,371290110001006,0
1170,371290110001007,0
1171,371290110001008,9
1172,371290110001009,0
1173,371290110001010,0
1174,371290110001011,0
1175,371290110001012,0
1176,371290110001013,0
1177,371290110001014,0
1178,371290110001015,0
1179,371290110001016,282
1180,371290110001017,19
1181,371290110001018,47
1182,371290110001019,34
1183,371290110001020,0
1184,371290110001021,0
1185,371290110001022,112
1186,371290110001023,0
1187,371290110001024,144
1188,371290110001025,0
1189,371290110001026,0
1190,371290110001027,0
1191,371290110001028,7
1192,371290110001029,0
1193,371290110001030,0
1194,371290110001031,0
1195,371290110001032,0
1196,371290110001033,0
1197,371290110001034,8
1198,371290110001035,15
1199,371290110001036,0
1200,371290110001037,0
1201,371290110001038,0
1202,371290110001039,0
1203,371290110001040,0
1204,371290110001041,0
1205,371290110001042,76
1206,371290110001043,0
1207,371290110002000,183
1208,371290110002001,55
1209,371290110002002,0
1210,371290110002003,39
1211,371290110002004,264
1212,371290110002005,75
1213,371290110002006,71
1214,371290110002007,79
1215,371290110002008,0
1216,371290110002009,16
1217,371290110002010,120
1218,371290110002011,4
1219,371290110002012,22
1220,371290110002013,0
1221,371290110002014,0
1222,371290110002015,27
1223,371290110002016,19
1224,371290110002017,7
1225,371290110002018,4
1226,371290110002019,171
1227,371290110002020,12
1228,371290110002021,45
1229,371290110002022,16
1230,371290110002023,17
1231,371290110002024,60
1232,371290110002025,49
1233,371290110002026,6
1234,371290110002027,6
1235,371290110002028,6
1236,371290110002029,11
1237,371290110002030,10
1238,371290110002031,11
1239,371290110002032,9
1240,371290110002033,21
1241,371290110002034,5
1242,371290110002035,0
1243,371290110002036,6
1244,371290110002037,11
1245,371290110002038,18
1246,371290110002039,15
1247,371290111001000,50
1248,371290111001001,29
1249,371290111001002,59
1250,371290111001003,37
1251,371290111001004,0
1252,371290111001005,52
1253,371290111001006,26
1254,371290111001007,0
1255,371290111001008,2
1256,371290111001009,32
1257,371290111001010,54
1258,371290111001011,35
1259,371290111001012,38
1260,371290111001013,36
1261,371290111001014,3
1262,371290111001015,0
1263,371290111001016,37
1264,371290111001017,2
1265,371290111001018,2
1266,371290111001019,32
1267,371290111001020,0
1268,371290111001021,0
1269,371290111001022,44
1270,371290111001023,32
1271,371290111001024,0
1272,371290111001025,0
1273,371290111001026,12
1274,371290111001027,46
1275,371290111001028,42
1276,371290111001029,19
1277,371290111001030,15
1278,371290111001031,24
1279,371290111001032,27
1280,371290111001033,58
1281,371290111001034,18
1282,371290111001035,0
1283,371290111001036,111
1284,371290111001037,11
1285,371290111001038,0
1286,371290111001039,0
1287,371290111001040,12
1288,371290111001041,25
1289,371290111001042,10
1290,371290111001043,9
1291,371290111001044,0
1292,371290111001045,13
1293,371290111001046,20
1294,371290111001047,36
1295,371290111001048,13
1296,371290111001049,26
1297,371290111001050,10
1298,371290111001051,1
1299,371290111001052,13
1300,371290111001053,18
1301,371290111001054,0
1302,371290111001055,0
1303,371290111001056,0
1304,371290111001057,8
1305,371290111001058,34
1306,371290111001059,0
1307,371290111001060,0
1308,371290111001061,0
1309,371290111001062,0
1310,371290111002000,0
1311,371290111002001,33
1312,371290111002002,33
1313,371290111002003,16
1314,371290111002004,65
1315,371290111002005,32
1316,371290111002006,21
1317,371290111002007,65
1318,371290111002008,20
1319,371290111002009,18
1320,371290111002010,17
1321,371290111002011,29
1322,371290111002012,25
1323,371290111002013,28
1324,371290111002014,16
1325,371290111002015,2
1326,371290111002016,0
1327,371290111002017,0
1328,371290111002018,30
1329,371290111002019,35
1330,371290111002020,16
1331,371290111002021,22
1332,371290111002022,35
1333,371290111002023,12
1334,371290111002024,8
1335,371290111002025,34
1336,371290111002026,39
1337,371290111002027,33
1338,371290111002028,53
1339,371290111002029,47
1340,371290111002030,26
1341,371290111002031,26
1342,371290111002032,16
1343,371290111002033,0
1344,371290111002034,0
1345,371290111002035,58
1346,371290111002036,26
1347,371290111002037,30
1348,371290111002038,9
1349,371290111002039,41
1350,371290111002040,0
1351,371290111002041,22
1352,371290111002042,21
1353,371290111002043,136
1354,371290111002044,0
1355,371290111002045,0
1356,371290111002046,45
1357,371290111002047,10
1358,371290111002048,43
1359,371290111002049,39
1360,371290111002050,13
